Key,idCity,City
02a5d1c69f5d44cfa9d2a256e62725a7,312,Murillo
053b8b9d38d14f0097a16ff3f2df98fa,309,San Francisco
070fce8dd1b0443cafbbad0eccba462e,336,Rio de la plata
089e9a21a113498dbcd1274ca31d9314,92,Girardota
096c10aac4214c11a67e10473671a3ca,367,San Andrés
09c4d9955cd24c0e97c19a765af8b014,289,Londres
0b599185f3b14688a5817d9464f90366,237,Medellín
115c61b3012b41e78814f61ad72bbb15,316,Nuquí
11ccd89d25d14680b4d74cadf92c1c00,741,Pereira
139b85b77ec94577864eb7a6ccb61cdf,226,Ciudad de Panamá
13ebee2247fd427b809676163e4c6590,313,Springfield
18aa24fd3e3b4006aa5ebdd0a7400704,225,NY
1a4564e4e05d452996962259bb7cbf90,357,Cúcuta
1da79dc062a1498786b5ed172362a7fc,226,Ciudad de Panamá
1e8656f6b89c4f19bd47cb8bef23b4fa,231,Roma
1e9bf02e0c0c48438f1019717734232f,82,Cartagena
246983454b2d4f3081e713e524b272db,730,Envigado
2771d4adc72b40348aa70131a605dd15,90,Bello
29b6ee7caa4e409eb35ab50cf763028e,59,Barranquilla
2a8871b1fc3b4bb0a350263e6828086d,312,Murillo
2a972757e72e42418a74789b4f56c180,266,Madrid
2c241909eb624792ad0226844a899c12,317,Montería
2d8591c8a73840d692d1aaceb8f7e016,237,Medellín
2f8ec18d8a764803b73ec9cf13d661a9,316,Nuquí
2fcb06120c8a47c49a45d7295aab342d,41,Bogotá
318c42f457ab4fd291123fd53c06f8fc,237,Medellín
3196ec1df9384ad08a00abcd1bc01a97,82,Cartagena
31c0afa988c441c29c5c936ae985d86f,551,Itagüí
35fcdb980fa94f60880cac89f946ba37,358,Cusco
381801b4d38c4ab3861b37db0345307f,367,San Andrés
3c00ba4764ae4a4da4fe882f59ab23ba,225,NY
3deadebd599248bba29641f4a89fabb4,81,Bosa
3f8a3d650fff425e8a85c42a6c6c9ec4,237,Medellín
47bbe8d2878345788ccbd863c2d02df8,90,Bello
49a2b6d7021f48d2aa6b8c56c9e2471d,457,Montevideo
4b90ed89a1e148b59799ed7626968daf,90,Bello
4f1f7ce0016c4c98b2e39bfc193b6794,42,Cali
5f218f65be104f2f88dbb16851ea061c,59,Barranquilla
628ded2887a64a9b8f0d53865c70e090,290,Armenia
632405e8e31846ec8169fb227f37118b,366,Pasto
66b8bedb0e554a6bb58ed73e323e3b28,54,Rio de Janeiro
